YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,1,4,B6,304,N607JB,SJU,JFK,155,153.0,-2.0,12.0,205.0,235.0,248.0,231.0,1598,456.0,5.0,450,501.0,11.0,0,0,,,,,,
2015,1,1,4,B6,2001,N358JB,BUF,JFK,535,530.0,-5.0,17.0,547.0,88.0,78.0,56.0,301,643.0,5.0,703,648.0,-15.0,0,0,,,,,,
2015,1,1,4,B6,2807,N190JB,PWM,JFK,535,528.0,-7.0,13.0,541.0,85.0,67.0,50.0,273,631.0,4.0,700,635.0,-25.0,0,0,,,,,,
2015,1,1,4,B6,917,N606JB,BOS,JFK,545,543.0,-2.0,12.0,555.0,77.0,66.0,44.0,187,639.0,10.0,702,649.0,-13.0,0,0,,,,,,
2015,1,1,4,B6,115,N284JB,SYR,JFK,555,550.0,-5.0,27.0,617.0,83.0,75.0,43.0,209,700.0,5.0,718,705.0,-13.0,0,0,,,,,,
2015,1,1,4,B6,185,N334JB,ROC,JFK,555,550.0,-5.0,20.0,610.0,85.0,73.0,48.0,264,658.0,5.0,720,703.0,-17.0,0,0,,,,,,
2015,1,1,4,B6,130,N510JB,RSW,JFK,600,557.0,-3.0,10.0,607.0,161.0,162.0,141.0,1074,828.0,11.0,841,839.0,-2.0,0,0,,,,,,
2015,1,1,4,B6,154,N536JB,PBI,JFK,600,559.0,-1.0,11.0,610.0,154.0,164.0,141.0,1028,831.0,12.0,834,843.0,9.0,0,0,,,,,,
2015,1,1,4,B6,226,N648JB,TPA,JFK,600,553.0,-7.0,10.0,603.0,151.0,153.0,130.0,1005,813.0,13.0,831,826.0,-5.0,0,0,,,,,,
2015,1,1,4,B6,746,N587JB,PSE,JFK,600,557.0,-3.0,9.0,606.0,241.0,239.0,225.0,1617,851.0,5.0,901,856.0,-5.0,0,0,,,,,,
2015,1,1,4,B6,776,N236JB,MSY,JFK,600,550.0,-10.0,11.0,601.0,168.0,160.0,140.0,1182,921.0,9.0,948,930.0,-18.0,0,0,,,,,,
2015,1,1,4,B6,794,N519JB,AUS,JFK,600,559.0,-1.0,16.0,615.0,203.0,194.0,175.0,1521,1010.0,3.0,1023,1013.0,-10.0,0,0,,,,,,
2015,1,1,4,B6,838,N715JB,BQN,JFK,600,601.0,1.0,11.0,612.0,232.0,246.0,225.0,1576,857.0,10.0,852,907.0,15.0,0,0,,14.0,0.0,1.0,0.0,0.0
2015,1,1,4,B6,1678,N618JB,JAX,JFK,600,600.0,0.0,14.0,614.0,128.0,136.0,109.0,828,803.0,13.0,808,816.0,8.0,0,0,,,,,,
2015,1,1,4,DL,750,N995AT,BOS,JFK,600,556.0,-4.0,20.0,616.0,80.0,76.0,44.0,187,700.0,12.0,720,712.0,-8.0,0,0,,,,,,
2015,1,1,4,B6,1502,N535JB,FLL,JFK,600,610.0,10.0,13.0,623.0,163.0,170.0,146.0,1069,849.0,11.0,843,900.0,17.0,0,0,,7.0,0.0,10.0,0.0,0.0
2015,1,1,4,B6,1504,N640JB,SJU,JFK,600,627.0,27.0,17.0,644.0,242.0,274.0,248.0,1598,952.0,9.0,902,1001.0,59.0,0,0,,32.0,0.0,27.0,0.0,0.0
2015,1,1,4,MQ,3350,N830MQ,RDU,JFK,600,555.0,-5.0,32.0,627.0,95.0,103.0,64.0,427,731.0,7.0,735,738.0,3.0,0,0,,,,,,
2015,1,1,4,B6,233,N247JB,BTV,JFK,605,553.0,-12.0,12.0,605.0,88.0,84.0,50.0,266,655.0,22.0,733,717.0,-16.0,0,0,,,,,,
2015,1,1,4,B6,1184,N641JB,MCO,JFK,605,600.0,-5.0,17.0,617.0,146.0,161.0,129.0,944,826.0,15.0,831,841.0,10.0,0,0,,,,,,
2015,1,1,4,B6,24,N923JB,LAX,JFK,610,620.0,10.0,10.0,630.0,314.0,293.0,279.0,2475,1409.0,4.0,1424,1413.0,-11.0,0,0,,,,,,
2015,1,1,4,AA,1165,N3ACAA,BOS,JFK,615,613.0,-2.0,16.0,629.0,75.0,64.0,44.0,187,713.0,4.0,730,717.0,-13.0,0,0,,,,,,
2015,1,1,4,MQ,3432,N546MQ,DCA,JFK,615,859.0,164.0,10.0,909.0,63.0,60.0,41.0,213,950.0,9.0,718,959.0,161.0,0,0,,0.0,46.0,115.0,0.0,0.0
2015,1,1,4,DL,418,N706TW,SFO,JFK,630,628.0,-2.0,15.0,643.0,325.0,307.0,284.0,2586,1427.0,8.0,1455,1435.0,-20.0,0,0,,,,,,
2015,1,1,4,DL,246,N391DA,SAN,JFK,645,642.0,-3.0,15.0,657.0,314.0,286.0,264.0,2446,1421.0,7.0,1459,1428.0,-31.0,0,0,,,,,,
2015,1,1,4,B6,1208,N273JB,IAD,JFK,647,641.0,-6.0,25.0,706.0,73.0,80.0,49.0,228,755.0,6.0,800,801.0,1.0,0,0,,,,,,
2015,1,1,4,DL,476,N196DN,LAX,JFK,650,650.0,0.0,25.0,715.0,319.0,308.0,274.0,2475,1449.0,9.0,1509,1458.0,-11.0,0,0,,,,,,
2015,1,1,4,B6,16,N934JB,SFO,JFK,655,652.0,-3.0,10.0,702.0,322.0,316.0,299.0,2586,1501.0,7.0,1517,1508.0,-9.0,0,0,,,,,,
2015,1,1,4,AA,118,N788AA,LAX,JFK,700,650.0,-10.0,13.0,703.0,325.0,286.0,268.0,2475,1431.0,5.0,1525,1436.0,-49.0,0,0,,,,,,
2015,1,1,4,DL,400,N381DN,PDX,JFK,700,657.0,-3.0,13.0,710.0,313.0,288.0,268.0,2454,1438.0,7.0,1513,1445.0,-28.0,0,0,,,,,,
2015,1,1,4,DL,1795,N3757D,LAS,JFK,700,654.0,-6.0,11.0,705.0,285.0,256.0,237.0,2248,1402.0,8.0,1445,1410.0,-35.0,0,0,,,,,,
2015,1,1,4,VX,12,N842VA,SFO,JFK,705,702.0,-3.0,10.0,712.0,329.0,320.0,299.0,2586,1511.0,11.0,1534,1522.0,-12.0,0,0,,,,,,
2015,1,1,4,AA,1260,N5ETAA,MIA,JFK,705,701.0,-4.0,15.0,716.0,168.0,165.0,142.0,1089,938.0,8.0,953,946.0,-7.0,0,0,,,,,,
2015,1,1,4,DL,2054,N376DA,SEA,JFK,705,705.0,0.0,11.0,716.0,312.0,290.0,270.0,2422,1446.0,9.0,1517,1455.0,-22.0,0,0,,,,,,
2015,1,1,4,B6,2101,N304JB,BUF,JFK,706,703.0,-3.0,21.0,724.0,92.0,89.0,59.0,301,823.0,9.0,838,832.0,-6.0,0,0,,,,,,
2015,1,1,4,B6,2084,N621JB,MCO,JFK,708,706.0,-2.0,19.0,725.0,147.0,153.0,124.0,944,929.0,10.0,935,939.0,4.0,0,0,,,,,,
